CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NO2(GT),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),RH,AH,NOx(GT)
2.7,1280.0,9.6,964.0,113.0,963.0,1544.0,1285.0,64.1,0.7597,193.0
1.9,1196.0,7.4,873.0,97.0,1071.0,1463.0,1144.0,63.9,0.7423,139.0
1.6,1184.0,5.4,782.0,82.0,1176.0,1365.0,1043.0,63.9,0.7256,83.0
1.7,1172.0,5.4,783.0,109.0,1179.0,1380.0,996.0,67.5,0.7173,180.0
1.8,1147.0,6.2,821.0,83.0,1132.0,1412.0,992.0,71.1,0.7158,109.0
1.0,978.0,2.6,625.0,65.0,1420.0,1274.0,819.0,63.6,0.6982,62.0
1.2,1100.0,2.9,646.0,60.0,1406.0,1268.0,835.0,67.5,0.6887,53.0
1.5,1112.0,5.1,770.0,77.0,1228.0,1409.0,940.0,71.9,0.6932,139.0
2.7,1336.0,11.8,1043.0,96.0,935.0,1678.0,1192.0,71.6,0.6945,256.0
3.7,1408.0,15.1,1153.0,119.0,830.0,1777.0,1411.0,59.7,0.7124,295.0
3.2,1447.0,12.9,1081.0,126.0,869.0,1667.0,1465.0,51.2,0.7335,250.0
4.1,1542.0,16.1,1184.0,158.0,808.0,1780.0,1583.0,42.2,0.7451,296.0
3.6,1451.0,14.0,1117.0,161.0,875.0,1679.0,1387.0,33.8,0.7090000000000001,239.0
2.8,1328.0,12.3,1059.0,124.0,987.0,1600.0,1101.0,31.3,0.695,153.0
2.0,1207.0,8.6,924.0,102.0,1088.0,1488.0,850.0,34.8,0.7127,118.0
2.0,1240.0,9.2,947.0,116.0,1049.0,1532.0,947.0,33.6,0.7042,119.0
2.5,1306.0,10.2,987.0,124.0,1004.0,1554.0,1078.0,35.1,0.7012,138.0
2.3,1326.0,10.6,1000.0,125.0,976.0,1602.0,1084.0,37.8,0.7117,148.0
3.2,1473.0,15.5,1163.0,148.0,831.0,1779.0,1395.0,41.0,0.7451,227.0
4.2,1609.0,19.6,1286.0,165.0,758.0,1922.0,1612.0,42.4,0.7569,277.0
4.2,1611.0,19.2,1274.0,161.0,754.0,1915.0,1697.0,44.1,0.7786,279.0
4.2,1621.0,18.3,1247.0,159.0,762.0,1860.0,1886.0,46.8,0.8091,283.0
3.1,1444.0,13.1,1089.0,143.0,844.0,1748.0,1624.0,48.6,0.8059999999999999,214.0
2.6,1418.0,10.9,1010.0,130.0,892.0,1603.0,1536.0,49.3,0.8193,172.0
2.9,1534.0,11.0,1013.0,129.0,889.0,1611.0,1535.0,53.6,0.8498,190.0
2.8,1484.0,11.9,1045.0,119.0,880.0,1624.0,1530.0,51.5,0.8536,174.0
2.5,1367.0,8.6,925.0,104.0,953.0,1543.0,1337.0,58.9,0.8537,128.0
2.4,1344.0,9.7,968.0,109.0,921.0,1620.0,1278.0,63.4,0.8674,180.0
1.8,1130.0,5.2,773.0,82.0,1130.0,1452.0,1051.0,61.1,0.8603,70.0
1.2,1062.0,3.7,691.0,70.0,1272.0,1377.0,929.0,63.1,0.8533,53.0
1.0,1076.0,2.5,618.0,63.0,1395.0,1333.0,872.0,62.2,0.8473,44.0
0.9,1028.0,2.4,615.0,67.0,1384.0,1340.0,853.0,67.6,0.853,74.0
1.4,1155.0,4.2,722.0,84.0,1225.0,1414.0,959.0,62.7,0.853,101.0
1.6,1235.0,6.4,828.0,83.0,1055.0,1527.0,1093.0,60.0,0.8627,118.0
2.2,1332.0,8.6,923.0,98.0,952.0,1614.0,1225.0,53.1,0.8728,144.0
2.8,1445.0,10.9,1009.0,114.0,878.0,1696.0,1355.0,46.1,0.8789,176.0
2.8,1416.0,10.7,1002.0,119.0,907.0,1677.0,1262.0,38.3,0.8474,161.0
2.0,1281.0,7.5,880.0,104.0,1084.0,1525.0,980.0,31.4,0.7812,113.0
1.8,1207.0,7.5,879.0,102.0,1104.0,1490.0,872.0,30.2,0.7616,103.0
1.9,1258.0,8.2,906.0,107.0,1081.0,1511.0,900.0,29.0,0.7525,112.0
3.0,1458.0,11.9,1045.0,129.0,974.0,1646.0,1099.0,28.4,0.7516,170.0
2.9,1438.0,12.0,1051.0,128.0,943.0,1668.0,1206.0,30.8,0.7696,180.0
2.5,1478.0,12.2,1055.0,121.0,929.0,1671.0,1262.0,36.7,0.8307,160.0
4.6,1808.0,20.6,1312.0,157.0,753.0,1993.0,1698.0,41.7,0.8732,261.0
5.9,1898.0,23.1,1381.0,173.0,681.0,2103.0,1905.0,46.1,0.9209999999999999,325.0
3.4,1560.0,14.7,1140.0,146.0,784.0,1818.0,1648.0,49.6,0.932,217.0
2.1,1324.0,9.0,940.0,121.0,924.0,1587.0,1423.0,51.0,0.9341,146.0
