holiday,workingday,weathersit,atemp,hum,windspeed,cnt
0,0,1,0.2879,0.81,0.0,16
0,0,1,0.2727,0.8,0.0,40
0,0,1,0.2727,0.8,0.0,32
0,0,1,0.2879,0.75,0.0,13
0,0,1,0.2879,0.75,0.0,1
0,0,2,0.2576,0.75,0.0896,1
0,0,1,0.2727,0.8,0.0,2
0,0,1,0.2576,0.86,0.0,3
0,0,1,0.2879,0.75,0.0,8
0,0,1,0.3485,0.76,0.0,14
0,0,1,0.3939,0.76,0.2537,36
0,0,1,0.3333,0.81,0.2836,56
0,0,1,0.4242,0.77,0.2836,84
0,0,2,0.4545,0.72,0.2985,94
0,0,2,0.4545,0.72,0.2836,106
0,0,2,0.4394,0.77,0.2985,110
0,0,2,0.4242,0.82,0.2985,93
0,0,2,0.4394,0.82,0.2836,67
0,0,3,0.4242,0.88,0.2537,35
0,0,3,0.4242,0.88,0.2537,37
0,0,2,0.4091,0.87,0.2537,36
0,0,2,0.4091,0.87,0.19399999999999998,34
0,0,2,0.4091,0.94,0.2239,28
0,0,2,0.4545,0.88,0.2985,39
0,0,2,0.4545,0.88,0.2985,17
0,0,2,0.4394,0.94,0.2537,17
0,0,2,0.4242,1.0,0.2836,9
0,0,2,0.4545,0.94,0.19399999999999998,6
0,0,2,0.4545,0.94,0.19399999999999998,3
0,0,3,0.4242,0.77,0.2985,2
0,0,2,0.4091,0.76,0.19399999999999998,1
0,0,3,0.4091,0.71,0.2239,8
0,0,2,0.3939,0.76,0.2239,20
0,0,2,0.3485,0.81,0.2239,53
0,0,2,0.3333,0.71,0.2537,70
0,0,2,0.3333,0.66,0.2985,93
0,0,2,0.3485,0.66,0.1343,75
0,0,3,0.3485,0.76,0.19399999999999998,59
0,0,3,0.3333,0.81,0.1642,74
0,0,3,0.3333,0.71,0.1642,76
0,0,1,0.3333,0.57,0.19399999999999998,65
0,0,2,0.3333,0.46,0.3284,53
0,0,1,0.2879,0.42,0.4478,30
0,0,1,0.2727,0.39,0.3582,22
0,0,1,0.2273,0.44,0.3284,31
0,0,1,0.2121,0.44,0.2985,9
0,0,1,0.2273,0.47,0.1642,8
0,1,1,0.19699999999999998,0.44,0.3582,5
0,1,1,0.1667,0.44,0.4179,2
0,1,1,0.1364,0.47,0.3881,1
0,1,1,0.1364,0.47,0.2836,3
0,1,1,0.1061,0.5,0.3881,30
0,1,1,0.1364,0.5,0.19399999999999998,64
0,1,1,0.1212,0.5,0.2836,154
0,1,1,0.1364,0.43,0.3881,88
0,1,1,0.1667,0.43,0.2537,44
0,1,1,0.1818,0.4,0.3284,51
0,1,1,0.2121,0.35,0.2985,61
0,1,1,0.2121,0.35,0.2836,61
0,1,1,0.2424,0.3,0.2836,77
0,1,1,0.2424,0.3,0.2537,72
0,1,1,0.2424,0.3,0.2537,76
0,1,1,0.2273,0.3,0.2239,157
0,1,1,0.2576,0.32,0.1045,157
0,1,1,0.2576,0.47,0.0,110
0,1,1,0.2273,0.47,0.1045,52
0,1,1,0.19699999999999998,0.64,0.1343,52
0,1,1,0.1515,0.69,0.1343,20
0,1,1,0.2121,0.55,0.1045,12
0,1,1,0.1818,0.55,0.1045,5
0,1,1,0.1818,0.59,0.1045,2
0,1,1,0.1515,0.63,0.1343,1
0,1,1,0.1818,0.63,0.0896,2
0,1,1,0.1515,0.68,0.1045,4
0,1,1,0.1515,0.74,0.1045,36
0,1,1,0.1515,0.74,0.1343,94
0,1,1,0.1515,0.69,0.1642,179
0,1,1,0.1515,0.64,0.2239,100
0,1,2,0.1364,0.69,0.3284,42
0,1,1,0.2121,0.51,0.2985,57
0,1,1,0.2273,0.51,0.1642,78
0,1,1,0.2273,0.56,0.19399999999999998,97
0,1,1,0.2576,0.52,0.2239,63
0,1,1,0.2727,0.52,0.2537,65
0,1,1,0.2879,0.49,0.2537,83
0,1,1,0.2727,0.48,0.2239,212
0,1,1,0.2576,0.48,0.19399999999999998,182
0,1,1,0.2576,0.48,0.1045,112
