holiday,temp,rain_1h,snow_1h,weather_main,traffic_volume
7,288.28,0.0,0.0,1,5545
7,289.36,0.0,0.0,1,4516
7,289.58,0.0,0.0,1,4767
7,290.13,0.0,0.0,1,5026
7,291.14,0.0,0.0,1,4918
7,291.72,0.0,0.0,0,5181
7,293.17,0.0,0.0,0,5584
7,293.86,0.0,0.0,0,6015
7,294.14,0.0,0.0,1,5791
7,293.1,0.0,0.0,1,4770
7,290.97,0.0,0.0,1,3539
7,289.38,0.0,0.0,0,2784
7,288.61,0.0,0.0,0,2361
7,287.16,0.0,0.0,0,1529
7,285.45,0.0,0.0,0,963
7,284.63,0.0,0.0,0,506
7,283.47,0.0,0.0,0,321
7,281.18,0.0,0.0,0,273
7,281.09,0.0,0.0,0,367
7,279.53,0.0,0.0,0,814
7,278.62,0.0,0.0,0,2718
7,278.23,0.0,0.0,0,5673
7,278.12,0.0,0.0,0,6511
7,282.48,0.0,0.0,0,5471
7,291.97,0.0,0.0,0,5097
7,293.23,0.0,0.0,0,4887
7,294.31,0.0,0.0,0,5337
7,295.17,0.0,0.0,0,5692
7,295.13,0.0,0.0,0,6137
7,293.66,0.0,0.0,1,4623
7,290.65,0.0,0.0,1,3591
7,288.19,0.0,0.0,1,2898
7,287.1,0.0,0.0,0,2637
7,286.25,0.0,0.0,0,1777
7,285.26,0.0,0.0,0,1015
7,284.55,0.0,0.0,0,598
7,283.47,0.0,0.0,0,369
7,283.17,0.0,0.0,0,312
7,282.04,0.0,0.0,0,367
7,281.69,0.0,0.0,0,835
7,281.32,0.0,0.0,0,2726
7,280.74,0.0,0.0,0,5689
7,280.57,0.0,0.0,0,6990
7,281.86,0.0,0.0,0,5985
7,284.98,0.0,0.0,0,5309
7,289.18,0.0,0.0,0,4603
7,291.55,0.0,0.0,0,4884
7,294.97,0.0,0.0,0,5104
7,296.38,0.0,0.0,0,5178
7,297.32,0.0,0.0,0,5501
7,298.17,0.0,0.0,0,5713
7,298.06,0.0,0.0,1,6292
7,297.67,0.0,0.0,1,6057
7,296.36,0.0,0.0,1,4907
7,293.85,0.0,0.0,1,3503
7,292.43,0.0,0.0,1,3037
7,291.77,0.0,0.0,1,2822
7,291.36,0.0,0.0,1,1992
7,291.12,0.0,0.0,1,1166
7,290.63,0.0,0.0,1,627
7,290.46,0.0,0.0,1,388
7,289.26,0.0,0.0,0,368
7,283.21,0.0,0.0,1,2489
7,282.24,0.0,0.0,1,5537
7,281.69,0.0,0.0,1,6628
7,280.57,0.0,0.0,1,5534
7,280.02,0.0,0.0,1,5403
7,280.11,0.0,0.0,1,4770
7,280.0,0.0,0.0,1,5217
7,280.53,0.0,0.0,1,5870
7,281.43,0.0,0.0,1,5967
7,281.78,0.0,0.0,1,6108
7,281.91,0.0,0.0,1,6128
7,281.73,0.0,0.0,1,6069
7,281.42,0.0,0.0,1,6169
7,280.87,0.0,0.0,1,5384
7,280.15,0.0,0.0,1,4063
7,279.78,0.0,0.0,1,3364
7,279.65,0.0,0.0,1,2971
7,279.22,0.0,0.0,1,2450
7,279.06,0.0,0.0,1,1832
7,278.81,0.0,0.0,1,1231
7,278.55,0.0,0.0,1,718
7,278.59,0.0,0.0,1,545
7,276.99,0.0,0.0,1,411
7,276.35,0.0,0.0,1,688
7,275.4,0.0,0.0,0,1352
7,275.17,0.0,0.0,0,2072
7,274.99,0.0,0.0,0,3342
7,275.09,0.0,0.0,1,4258
7,276.88,0.0,0.0,1,4861
7,278.04,0.0,0.0,1,5191
7,279.08,0.0,0.0,1,5669
7,280.12,0.0,0.0,1,5074
7,280.25,0.0,0.0,1,5025
7,280.0,0.0,0.0,1,5153
7,279.06,0.0,0.0,1,5024
7,278.91,0.0,0.0,1,4779
7,278.39,0.0,0.0,1,4362
7,278.16,0.0,0.0,1,3860
7,278.16,0.0,0.0,1,3160
7,277.93,0.0,0.0,1,2992
7,276.9,0.0,0.0,1,3202
7,276.34,0.0,0.0,1,1941
7,276.11,0.0,0.0,1,1233
7,275.73,0.0,0.0,1,323
7,275.65,0.0,0.0,1,312
7,275.51,0.0,0.0,1,627
7,275.05,0.0,0.0,1,1508
7,274.77,0.0,0.0,1,1539
7,274.77,0.0,0.0,1,2232
7,275.55,0.0,0.0,1,4568
7,276.24,0.0,0.0,1,4624
7,277.01,0.0,0.0,1,4529
7,277.43,0.0,0.0,1,5139
7,278.45,0.0,0.0,1,6640
7,279.27,0.0,0.0,1,6589
7,279.27,0.0,0.0,1,4429
7,279.44,0.0,0.0,1,4329
7,279.32,0.0,0.0,1,3833
7,279.27,0.0,0.0,1,4015
7,278.11,0.0,0.0,1,3382
7,276.79,0.0,0.0,1,2815
7,275.73,0.0,0.0,1,2110
7,274.88,0.0,0.0,1,1555
7,273.92,0.0,0.0,1,959
1,273.08,0.0,0.0,1,455
7,272.62,0.0,0.0,1,336
7,271.78,0.0,0.0,0,265
7,271.05,0.0,0.0,0,314
7,270.63,0.0,0.0,0,779
7,270.33,0.0,0.0,0,2571
7,269.61,0.0,0.0,1,5563
7,270.01,0.0,0.0,1,6676
7,271.23,0.0,0.0,1,5966
7,273.71,0.0,0.0,1,4832
7,276.77,0.0,0.0,1,4395
7,279.47,0.0,0.0,1,4411
7,279.84,0.0,0.0,0,4648
7,282.34,0.0,0.0,1,4602
7,282.94,0.0,0.0,1,5125
7,283.48,0.0,0.0,0,5502
7,284.33,0.0,0.0,0,5979
7,284.48,0.0,0.0,1,5663
7,284.23,0.0,0.0,1,4259
7,281.99,0.0,0.0,1,3069
7,279.81,0.0,0.0,0,2378
7,279.35,0.0,0.0,0,2030
7,278.9,0.0,0.0,0,1400
7,278.46,0.0,0.0,0,917
7,277.78,0.0,0.0,0,515
7,277.27,0.0,0.0,0,302
7,277.47,0.0,0.0,0,251
7,276.97,0.0,0.0,1,798
7,276.52,0.0,0.0,1,2678
7,276.6,0.0,0.0,1,5733
7,277.31,0.0,0.0,1,6449
7,278.38,0.0,0.0,1,5765
7,279.35,0.0,0.0,1,5599
7,281.37,0.0,0.0,1,4534
7,283.11,0.0,0.0,1,4691
7,284.08,0.0,0.0,1,5067
7,285.14,0.0,0.0,1,5030
7,286.35,0.0,0.0,1,5300
7,287.23,0.0,0.0,6,5777
7,288.53,0.0,0.0,1,6349
7,290.37,0.0,0.0,1,6127
7,290.13,0.0,0.0,1,4460
7,288.86,0.0,0.0,1,3418
7,287.36,0.0,0.0,1,2775
7,285.11,0.0,0.0,1,2306
7,283.46,0.0,0.0,1,1846
7,282.45,0.0,0.0,1,947
7,281.88,0.0,0.0,1,494
7,281.78,0.0,0.0,1,332
7,281.09,0.0,0.0,1,261
7,281.17,0.0,0.0,1,361
7,281.25,0.0,0.0,0,5875
7,281.25,0.0,0.0,6,6793
7,281.25,0.0,0.0,2,6793
7,280.1,0.0,0.0,6,6283
7,280.1,0.0,0.0,2,6283
7,279.61,0.0,0.0,6,5680
7,279.61,0.0,0.0,2,5680
7,279.67,0.0,0.0,0,4632
7,280.19,0.0,0.0,0,4887
7,282.09,0.0,0.0,1,5030
7,282.26,0.0,0.0,1,5067
7,282.05,0.0,0.0,1,5227
7,281.59,0.0,0.0,1,5610
7,281.23,0.0,0.0,0,6286
7,282.6,0.0,0.0,0,4775
7,282.6,0.0,0.0,0,3340
7,282.6,0.0,0.0,0,3013
7,282.6,0.0,0.0,0,2603
7,282.6,0.0,0.0,0,1910
7,282.6,0.0,0.0,0,1037
7,273.9,0.0,0.0,0,347
7,274.4,0.0,0.0,1,350
7,274.05,0.0,0.0,1,850
7,273.71,0.0,0.0,1,2791
7,272.66,0.0,0.0,0,5809
7,272.65,0.0,0.0,0,6798
7,272.52,0.0,0.0,0,6304
7,275.19,0.0,0.0,1,5291
7,275.34,0.0,0.0,0,4638
7,284.1,0.0,0.0,0,5557
7,284.1,0.0,0.0,0,5818
7,283.78,0.0,0.0,1,6272
7,283.52,0.0,0.0,1,5944
7,283.32,0.0,0.0,1,4949
7,282.06,0.0,0.0,1,3511
7,281.95,0.0,0.0,1,3039
7,281.81,0.0,0.0,1,2679
7,282.16,0.0,0.0,1,2094
7,282.53,0.0,0.0,1,1284
7,283.91,0.0,0.0,1,630
7,284.64,0.0,0.0,1,410
7,284.61,0.0,0.0,1,331
7,283.18,0.0,0.0,2,372
7,282.26,0.0,0.0,6,739
7,280.77,0.0,0.0,2,2561
7,278.53,0.0,0.0,1,5586
7,277.64,0.0,0.0,1,6992
7,277.9,0.0,0.0,1,5860
7,278.18,0.0,0.0,1,5230
7,279.29,0.0,0.0,1,4864
7,280.45,0.0,0.0,1,5146
7,280.95,0.0,0.0,1,5526
7,281.74,0.0,0.0,1,5383
7,281.84,0.0,0.0,1,5758
7,282.45,0.0,0.0,1,5889
7,282.2,0.0,0.0,1,6057
7,281.54,0.0,0.0,1,6028
7,280.21,0.0,0.0,1,5257
7,282.2,0.0,0.0,0,1897
7,272.58,0.0,0.0,0,1335
7,272.06,0.0,0.0,0,769
7,270.99,0.0,0.0,0,570
7,270.29,0.0,0.0,1,413
